Entity,Keras-count,SpaCy-count,Total-count
copper,6101,0,6101
imidazole,4437,1489,5926
chlorine,5845,26,5871
bortezomib,2779,3050,5829
morphine,2343,3363,5706
macrolide,4136,1547,5683
baricitinib,2813,2868,5681
hydrocortisone,2797,2858,5655
acetaminophen,2924,2720,5644
progesterone,1506,4129,5635
moxifloxacin,2797,2816,5613
rifampicin,2667,2826,5493
rimantadine,2765,2689,5454
selenium,4887,555,5442
imatinib,2639,2801,5440
isoflurane,2635,2707,5342
ruxolitinib,2597,2721,5318
tigecycline,2612,2544,5156
glycyrrhizin,4078,1036,5114
magnesium,4991,96,5087
cysteine,5032,54,5086
oil,5060,0,5060
fentanyl,2493,2544,5037
ivig,4946,0,4946
epinephrine,3759,1169,4928
lamivudine,2674,2253,4927
voriconazole,2959,1965,4924
nitazoxanide,2414,2503,4917
ga,4823,91,4914
amiodarone,2286,2612,4898
amikacin,2456,2437,4893
glutamine,4671,170,4841
warfarin,2354,2470,4824
azathioprine,2389,2430,4819
bromide,4552,144,4696
cephalosporin,2289,2377,4666
teicoplanin,2253,2252,4505
methanol,3265,1204,4469
trimethoprim,1231,3235,4466
glucose,4421,0,4421
resveratrol,3350,1012,4362
itraconazole,2194,2167,4361
methotrexate,4024,320,4344
piperacillin,1173,3171,4344
midazolam,2178,2165,4343
rifampin,2104,2194,4298
lactobacillus,4253,0,4253
losartan,2139,2109,4248
chlorhexidine,2607,1638,4245
curcumin,4226,0,4226
csa,4186,0,4186
infliximab,1914,2266,4180
paclitaxel,1934,2228,4162
methionine,3121,1007,4128
kanamycin,2147,1969,4116
sirolimus,1990,2118,4108
tenofovir,2190,1850,4040
gemcitabine,1961,2054,4015
ace,3983,0,3983
sofosbuvir,1860,2100,3960
lycorine,1682,2274,3956
mycophenolate,2642,1299,3941
indomethacin,1907,2003,3910
cocaine,2221,1667,3888
lidocaine,1883,1976,3859
tobramycin,1930,1876,3806
peramivir,1845,1927,3772
aminoacids,3757,0,3757
cpg,3754,0,3754
umifenovir,1692,2059,3751
lmwh,3740,0,3740
daptomycin,1895,1845,3740
artemisinin,2287,1410,3697
norepinephrine,3361,319,3680
tazobactam,739,2921,3660
nelfinavir,1769,1887,3656
darunavir,1512,2141,3653
cefepime,1920,1666,3586
foscarnet,1812,1765,3577
ozone,3563,0,3563
macrolides,3557,0,3557
puromycin,1618,1928,3546
dextran,2287,1227,3514
chitosan,3513,0,3513
furosemide,1738,1757,3495
glycine,2761,728,3489
cefotaxime,2118,1364,3482
bcg,3448,0,3448
quinine,1662,1771,3433
albumin,3391,0,3391
caffeine,1730,1632,3362
dexmedetomidine,1670,1691,3361
tamoxifen,1558,1747,3305
isoniazid,1994,1221,3215
tetanus,3185,0,3185
thalidomide,1568,1617,3185
emodin,3107,47,3154
chymotrypsin,1454,1695,3149
aldosterone,1575,1560,3135
trastuzumab,1470,1644,3114
alemtuzumab,1699,1393,3092
etoposide,2034,1020,3054
mefloquine,1481,1560,3041
camostat,2391,647,3038
cholesterol,3014,0,3014
budesonide,1487,1527,3014
glucocorticoid,2980,2,2982
valganciclovir,1468,1494,2962
hydrogen,2953,0,2953
atropine,1429,1518,2947
carbapenem,918,2028,2946
bevacizumab,1416,1515,2931
imiquimod,1444,1471,2915
angiotensin,488,2404,2892
histamine,1095,1789,2884
egcg,2883,0,2883
fluoroquinolone,2029,850,2879
clozapine,1907,907,2814
digoxin,1383,1425,2808
fluoroquinolones,2804,0,2804
androgen,927,1875,2802
salbutamol,1245,1485,2730
methadone,1122,1602,2724
neomycin,1280,1435,2715
compound,2706,0,2706
omalizumab,1396,1309,2705
cyclosporin,1705,996,2701
artesunate,1632,1039,2671
nac,2666,0,2666
l.,2637,22,2659
chlorpromazine,1248,1411,2659
vasopressin,2180,445,2625
amino,2608,3,2611
sulfamethoxazole,591,2015,2606
fludarabine,1704,859,2563
ceftazidime,2327,225,2552
pleconaril,1261,1278,2539
arginine,2394,143,2537
quinolone,1096,1440,2536
ouabain,1224,1304,2528
buprenorphine,777,1747,2524
vitamine,2456,44,2500
eculizumab,1399,1097,2496
clopidogrel,1391,1099,2490
zidovudine,1211,1274,2485
cathepsin,2447,24,2471
salt,2464,0,2464
nafamostat,1358,1094,2452
taurine,1053,1377,2430
isg15,2429,0,2429
hypochlorite,2414,0,2414
hcv,2406,0,2406
lactoferrin,2396,2,2398
minocycline,1187,1204,2391
xylazine,1059,1310,2369
cefuroxime,1234,1117,2351
cytarabine,1144,1198,2342
chop,2339,0,2339
vincristine,1184,1145,2329
amiloride,1061,1255,2316
theophylline,1478,832,2310
myricetin,1556,752,2308
nystatin,1137,1169,2306
tunicamycin,1061,1244,2305
cytosine,2282,19,2301
famotidine,1135,1160,2295
dobutamine,1171,1106,2277
diazepam,1330,938,2268
cetuximab,1092,1175,2267
phenobarbital,1331,928,2259
ultraviolet,2257,0,2257
phenol,1807,448,2255
caspofungin,1139,1110,2249
berberine,1318,916,2234
vitaminc,2232,0,2232
oxacillin,1069,1158,2227
enoxaparin,2153,68,2221
leptin,1072,1141,2213
verapamil,1092,1107,2199
serotonin,2162,36,2198
entecavir,1090,1099,2189
glucocorticoids,2187,0,2187
nivolumab,941,1242,2183
mofetil,2171,2,2173
cystatin,2015,148,2163
tetrandrine,1061,1100,2161
sarilumab,968,1189,2157
tamiflu,1097,1052,2149
captopril,1049,1087,2136
hbv,2134,0,2134
bicarbonate,1988,145,2133
estradiol,1866,251,2117
t-705,1158,958,2116
sildenafil,1271,827,2098
trump,2093,0,2093
omeprazole,1041,1045,2086
atorvastatin,1101,978,2079
adefovir,1095,969,2064
enrofloxacin,1301,760,2061
sunitinib,1012,1043,2055
mercury,2022,0,2022
ammonium,1890,120,2010
isopropanol,1584,419,2003
ifn-α,1973,0,1973
carbon,1956,0,1956
aprotinin,1191,763,1954
vitamins,1950,0,1950
folate,1941,1,1942
licorice,1939,0,1939
pegylated,1935,0,1935
haloperidol,942,989,1931
lithium,1929,0,1929
tofacitinib,986,937,1923
gentamycin,958,959,1917
ketoconazole,947,962,1909
aminoglycoside,1894,9,1903
sulfate,1897,0,1897
fingolimod,958,939,1897
fluticasone,889,1001,1890
sorafenib,953,933,1886
everolimus,1004,874,1878
natalizumab,804,1065,1869
docetaxel,875,984,1859
gefitinib,920,926,1846
loperamide,902,941,1843
lysine,1748,87,1835
cytidine,1005,818,1823
nitrate,1821,0,1821
carboplatin,860,954,1814
phosphorus,1796,3,1799
amodiaquine,880,914,1794
nicotinamide,789,999,1788
lopinavir-ritonavir,1786,0,1786
mg132,1786,0,1786
diphtheria,1779,0,1779
naloxone,156,1618,1774
saquinavir,878,891,1769
dasatinib,957,803,1760
valacyclovir,969,788,1757
oxytocin,1158,594,1752
adalimumab,989,748,1737
thiamine,1262,473,1735
lpv/r,1721,0,1721
g-csf,1719,0,1719
cyclophilin,1155,559,1714
monensin,1145,565,1710
allopurinol,847,857,1704
hydrochloride,519,1171,1690
azt,1689,0,1689
posaconazole,1158,526,1684
cotrimoxazole,874,806,1680
bronchodilator,1679,0,1679
globulin,1356,311,1667
guanidine,432,1230,1662
pentoxifylline,921,726,1647
carbamazepine,768,868,1636
sitagliptin,799,828,1627
mmf,1618,0,1618
5-fu,1618,0,1618
acetylcholine,1033,574,1607
ertapenem,956,650,1606
baloxavir,645,957,1602
bifidobacterium,1601,0,1601
primaquine,891,710,1601
arsenic,1595,0,1595
quinolones,1592,0,1592
leflunomide,1180,409,1589
kaletra,801,787,1588
herb,1587,0,1587
kaempferol,1384,201,1585
sulfur,1569,0,1569
aciclovir,877,691,1568
triclosan,834,734,1568
phenylephrine,768,799,1567
propranolol,945,620,1565
a.,1564,0,1564
indirubin,834,715,1549
benzodiazepine,777,769,1546
celecoxib,831,713,1544
carbapenems,1543,0,1543
rosiglitazone,765,775,1540
busulfan,1484,53,1537
nifedipine,753,781,1534
spironolactone,765,762,1527
protein,1524,0,1524
enfuvirtide,823,700,1523
montelukast,1516,0,1516
cyp3a4,1515,0,1515
met,1514,0,1514
pembrolizumab,917,592,1509
d3,1508,0,1508
ranitidine,753,755,1508
flavonoids,1507,0,1507
amphotericinb,1500,0,1500
hydrogenperoxide,1496,0,1496
rbv,1495,1,1496
aminoglycosides,1493,0,1493
papain,1477,0,1477
pentamidine,724,737,1461
melphalan,1458,0,1458
pepsin,1435,23,1458
nocodazole,726,726,1452
canakinumab,716,735,1451
ipilimumab,730,718,1448
ascorbicacid,1438,0,1438
glutamate,1437,0,1437
alisporivir,700,733,1433
metoclopramide,713,716,1429
rivaroxaban,939,489,1428
pioglitazone,707,720,1427
mupirocin,867,553,1420
ocrelizumab,633,787,1420
azole,1120,298,1418
ns5a,1416,0,1416
triazole,71,1341,1412
agonist,1411,0,1411
echinacea,1410,0,1410
tea,1403,0,1403
citrate,1385,15,1400
albendazole,750,641,1391
atazanavir,665,725,1390
albuterol,828,561,1389
ubiquitin,856,531,1387
clonidine,664,722,1386
penciclovir,680,705,1385
inosine,593,791,1384
ofloxacin,673,701,1374
hydroxyurea,927,442,1369
fosfomycin,717,652,1369
olanzapine,678,691,1369
bismuth,1364,3,1367
oxytetracycline,769,596,1365
indinavir,673,690,1363
famciclovir,671,681,1352
alum,1351,0,1351
telithromycin,668,682,1350
praziquantel,766,578,1344
erythropoietin,1261,79,1340
5-fluorouracil,1277,62,1339
tetracyclines,1338,0,1338
mitomycin,644,692,1336
cycloheximide,1304,31,1335
etanercept,1334,0,1334
energy,1331,0,1331
bafilomycin,568,757,1325
rupintrivir,672,652,1324
iodide,445,865,1310
igy,1306,0,1306
efavirenz,787,518,1305
genistein,1163,138,1301
glucagon,654,646,1300
enalapril,642,658,1300
formamide,878,418,1296
antithrombin,1295,0,1295
disulfide,1292,0,1292
sulfonamide,890,399,1289
ibrutinib,867,421,1288
capsaicin,837,434,1271
ota,1263,0,1263
oxaliplatin,640,621,1261
telbivudine,616,641,1257
naproxen,609,646,1255
pirfenidone,693,558,1251
transferrin,1250,0,1250
ginseng,1246,0,1246
fieber,0,1240,1240
luteolin,1230,3,1233
simvastatin,1172,61,1233
adrenaline,1169,62,1231
trimethoprim-sulfamethoxazole,1229,0,1229
abacavir,566,662,1228
ketone,24,1196,1220
mitoxantrone,603,615,1218
simeprevir,648,569,1217
cobalamin,1216,0,1216
statin,1181,27,1208
aztreonam,923,285,1208
methylene,1201,0,1201
phenytoin,1050,151,1201
collagen,1199,0,1199
asa,1197,0,1197
pyrimethamine,548,647,1195
lisinopril,694,496,1190
malaria,1189,0,1189
conjugate,1185,0,1185
facebook,1176,0,1176
mir-122,1176,0,1176
mmr,1175,0,1175
arb,1173,0,1173
meloxicam,580,589,1169
baicalin,984,182,1166
emtricitabine,698,461,1159
somatostatin,757,398,1155
boceprevir,571,582,1153
laninamivir,535,618,1153
pcv13,1151,0,1151
diltiazem,564,583,1147
tryptophan,1145,0,1145
fenbendazole,632,512,1144
ufh,1141,0,1141
antihistamines,1140,0,1140
baicalein,1136,3,1139
gabapentin,564,575,1139
raltegravir,539,597,1136
vitamina,1132,0,1132
gsh,1130,0,1130
pei,1121,0,1121
garlic,1112,0,1112
fetal,1101,10,1111
fty720,1098,0,1098
rubella,1094,0,1094
sulfasalazine,537,557,1094
camptothecin,544,544,1088
cefoxitin,660,427,1087
telaprevir,534,552,1086
bacitracin,521,564,1085
ascorbic,1045,36,1081
noradrenaline,750,329,1079
forskolin,563,516,1079
dithiothreitol,911,167,1078
platinum,1077,0,1077
rutin,862,215,1077
bronchodilators,1073,0,1073
irinotecan,521,551,1072
siltuximab,449,621,1070
obama,1068,0,1068
polymyxin,1048,18,1066
isopropyl,1060,0,1060
manganese,1057,3,1060
cefazolin,582,478,1060
dapsone,670,389,1059
calcitriol,732,325,1057
milrinone,629,425,1054
amlodipine,631,422,1053
gatifloxacin,520,532,1052
nevirapine,629,421,1050
telmisartan,519,531,1050
piperacillin/tazobactam,1049,0,1049
tyrosine,304,734,1038
vitaminb12,1035,0,1035
qd,0,1033,1033
penicillin-streptomycin,1032,0,1032
butyrate,1000,29,1029
fluorescein,422,606,1028
ciclesonide,513,514,1027
basiliximab,488,537,1025
gl,1018,0,1018
penicillins,995,23,1018
octreotide,499,518,1017
ebselen,1014,0,1014
diclofenac,838,176,1014
metoprolol,557,456,1013
nsaid,1006,0,1006
formaldehyde,1006,0,1006
lysozyme,1002,0,1002
oxalate,1000,0,1000
leukotriene,994,0,994
cimetidine,492,501,993
ethambutol,833,159,992
vitamind3,989,0,989
chx,985,0,985
pngase,980,0,980
fibrinogen,979,0,979
xylene,962,16,978
choline,732,245,977
wortmannin,422,554,976
fluoxetine,481,494,975
statins,973,0,973
bestatin,900,72,972
teriflunomide,535,437,972
sialidase,970,0,970
retinol,533,437,970
formoterol,568,401,969
protamine,537,432,969
piperacillin-tazobactam,965,0,965
uricacid,962,0,962
valsartan,465,497,962
h.,961,0,961
diphenhydramine,474,482,956
emetine,777,178,955
argatroban,522,428,950
ammonia,946,0,946
xanthine,576,370,946
pomegranate,943,0,943
surfactants,941,0,941
atovaquone,485,455,940
tramadol,435,498,933
tylophorine,561,370,931
sulfonamides,894,36,930
cadmium,923,5,928
methicillin,531,395,926
dinucleotide,921,2,923
adam,921,0,921
dox,921,0,921
oxycodone,435,486,921
gluconate,919,0,919
n-acetylcysteine,919,0,919
juice,916,0,916
tylosin,471,445,916
ondansetron,482,432,914
micafungin,800,113,913
acetylcysteine,260,653,913
ll-37,912,0,912
codeine,316,595,911
renin,869,41,910
decitabine,445,461,906
suramin,697,207,904
niacin,472,431,903
daclatasvir,412,488,900
inh,898,0,898
galidesivir,363,535,898
dex,893,0,893
liquorice,891,0,891
mesylate,890,0,890
vidarabine,465,424,889
bid,888,0,888
gs-5734,886,0,886
ciclosporin,886,0,886
toremifene,436,447,883
nisin,484,397,881
hypoxanthine,404,474,878
carnosine,743,133,876
capecitabine,484,390,874
linagliptin,434,439,873
vinblastine,432,441,873
bitcoin,872,0,872
mizoribine,438,433,871
peptide,870,0,870
uridine,866,0,866
thrombi,0,866,866
mycophenolic,676,189,865
plerixafor,864,0,864
paromomycin,443,421,864
erlotinib,524,339,863
nilotinib,429,434,863
palmitate,861,0,861
lorazepam,530,331,861
candesartan,433,425,858
levamisole,428,430,858
telavancin,520,336,856
quinidine,414,440,854
isoproterenol,665,188,853
gcv,852,0,852
cortisone,519,333,852
helium,851,0,851
mannitol,844,0,844
gc,842,0,842
norfloxacin,517,325,842
betamethasone,418,423,841
intel,838,0,838
benzene,836,1,837
adiponectin,605,229,834
uric,831,0,831
antitoxin,830,0,830
leupeptin,649,180,829
nitrofurantoin,433,394,827
bayer,695,131,826
aza,824,0,824
vimentin,170,653,823
defensin,7,815,822
antihistamine,666,152,818
pepstatin,487,331,818
carfilzomib,441,374,815
sevoflurane,812,0,812
gc376,812,0,812
sugar,809,0,809
maraviroc,807,0,807
chloroform,787,19,806
toxoid,805,0,805
dupilumab,478,325,803
dipyridamole,305,492,797
sulfadiazine,513,281,794
estrogen,770,23,793
apixaban,765,28,793
toltrazuril,377,416,793
soybean,792,0,792
ricin,641,151,792
quinacrine,450,336,786
mebendazole,447,337,784
cisatracurium,404,379,783
interferon-α,781,0,781
hygromycin,564,217,781
collagenase,780,0,780
mbl,779,0,779
pentobarbital,518,261,779
f.,775,0,775
halogen,774,0,774
das181,524,250,774
sp600125,771,0,771
adenine,733,38,771
risperidone,383,388,771
oxacin,389,381,770
thiol,767,2,769
mepolizumab,392,377,769
diphyllin,742,24,766
catechin,739,27,766
pyrazinamide,586,180,766
cordycepin,553,213,766
ramipril,393,369,762
brincidofovir,348,414,762
mpa,761,0,761
nitric,758,0,758
papillomavirus,757,0,757
sp-b,754,0,754
adriamycin,361,390,751
brentuximab,331,420,751
steroid,750,0,750
atenolol,375,375,750
eckol,578,169,747
cephalexin,368,379,747
cladribine,427,318,745
denosumab,353,392,745
allergen,13,730,743
fucoidan,728,13,741
clomiphene,405,335,740
cobicistat,351,389,740
ntz,739,0,739
medetomidine,361,378,739
bradykinin,737,0,737
fat,736,0,736
valinomycin,515,220,735
azm,734,0,734
atezolizumab,362,371,733
dha,730,0,730
iodoacetamide,729,0,729
co-trimoxazole,727,0,727
cystine,318,406,724
amoxicillin-clavulanate,723,0,723
az,721,0,721
actinomycind,720,0,720
amb,717,0,717
glabridin,715,0,715
povidone-iodine,715,0,715
actinomycin,603,112,715
folicacid,714,0,714
catechins,711,0,711
methamphetamine,471,238,709
levosimendan,707,0,707
ustekinumab,368,339,707
modafinil,305,400,705
ovomucin,365,339,704
thrombomodulin,190,514,704
inulin,700,2,702
acridine,686,16,702
baclofen,333,369,702
g.,701,0,701
levetiracetam,700,0,700
piperazine,484,215,699
ascorbate,698,0,698
sodiumchloride,697,0,697
lenalidomide,697,0,697
memantine,267,430,697
hht,695,0,695
hfnc,692,0,692
disulfiram,669,22,691
flagellin,258,433,691
gastrin,657,32,689
terlipressin,346,341,687
tmp,685,0,685
succinylcholine,312,371,683
gadolinium,680,0,680
ceftaroline,356,324,680
udarabine,469,209,678
povidone,197,481,678
ipratropium,675,0,675
letermovir,334,341,675
flavonoid,674,0,674
bbr,674,0,674
tipranavir,318,352,670
ivacaftor,669,0,669
probiotics,668,0,668
flucytosine,359,309,668
dolutegravir,302,366,668
radix,667,0,667
lovastatin,549,116,665
daunorubicin,465,200,665
peg,664,0,664
glycyrrhizicacid,662,0,662
corticosteroid,661,0,661
cetirizine,325,336,661
rocuronium,623,37,660
sulfa,299,361,660
apigenin,598,61,659
gelatin,658,0,658
trimethoprim/sulfamethoxazole,657,0,657
formalin,655,0,655
dextromethorphan,373,282,655
ticagrelor,431,222,653
clavulanate,577,75,652
acid,649,0,649
staurosporine,416,232,648
instagram,647,0,647
dextrose,644,0,644
m.,644,0,644
sertraline,318,325,643
ifn-λ3,640,0,640
digoxigenin,155,485,640
flunixin,416,223,639
lna,636,0,636
corticosterone,53,581,634
tmp-smx,633,0,633
isatin,163,469,632
anti-d,626,0,626
kaposi,624,0,624
salmeterol,514,108,622
proguanil,246,376,622
b.,621,0,621
pyridoxine,355,266,621
fenofibrate,305,316,621
motavizumab,170,451,621
alfa,620,0,620
heliox,619,1,620
lumefantrine,260,360,620
sirna,619,0,619
spectinomycin,336,283,619
egg,618,0,618
d-xylose,618,0,618
itz,618,0,618
didanosine,377,240,617
tripeptide,179,438,617
prolactin,103,514,617
antioxidants,616,0,616
mf59,616,0,616
carvedilol,308,308,616
microbicide,56,560,616
misoprostol,302,313,615
stavudine,362,252,614
sumo,613,0,613
pantoprazole,331,282,613
griffithsin,308,305,613
fluorine,602,10,612
valaciclovir,303,308,611
milk,610,0,610
acv,609,0,609
cobalt,609,0,609
l.japonica,608,0,608
v.,608,0,608
albicans,605,0,605
gemifloxacin,312,293,605
pertuzumab,290,315,605
nalidixic,604,0,604
antibiotika,603,0,603
bupivacaine,325,278,603
heme,601,0,601
folic,593,4,597
maribavir,295,302,597
amprenavir,291,305,596
ether,595,0,595
ledipasvir,245,350,595
remifentanil,501,93,594
oximeter,593,0,593
nucleotide,593,0,593
florfenicol,310,283,593
ceftiofur,592,0,592
hma,590,0,590
pcv7,590,0,590
temozolomide,355,235,590
pectin,406,183,589
tulathromycin,290,299,589
dynasore,588,0,588
7630,587,0,587
quetiapine,294,293,587
cytomegalovirus,585,0,585
acetylsalicylic,172,413,585
chondroitin,197,387,584
rhamnosus,583,0,583
thymosin,561,22,583
labetalol,292,291,583
bafilomycina1,580,0,580
starch,579,0,579
reserpine,276,303,579
adamantane,578,0,578
melittin,328,249,577
fk506,576,0,576
lincomycin,322,254,576
amitriptyline,287,289,576
prl,574,0,574
rotavirus,571,0,571
bis,570,0,570
terbutaline,365,205,570
defibrotide,290,280,570
vanadium,569,0,569
idarubicin,343,226,569
hyaluronidase,568,0,568
corticosteroids,567,0,567
nintedanib,284,283,567
catecholamine,191,376,567
carcinogen,565,1,566
proteine,3,563,566
eucalyptus,565,0,565
triethylamine,171,394,565
liquiritin,234,327,561
blinatumomab,299,261,560
rifabutin,289,271,560
bromhexine,289,269,558
lactulose,557,0,557
taxol,554,0,554
youtube,554,0,554
interferon-alpha,553,0,553
gancyclovir,273,279,552
avidin,550,0,550
doripenem,308,242,550
sufentanil,293,256,549
daclizumab,342,206,548
apilimod,213,334,547
glycyrrhizic,93,454,547
ddt,546,0,546
liraglutide,318,227,545
nucleicacid,544,0,544
thrombopoietin,242,302,544
tax,543,0,543
pneumococcal,542,0,542
chloride,541,1,542
rosuvastatin,358,184,542
leucovorin,265,275,540
silymarin,491,47,538
acetylglucosamine,0,538,538
glycyrrhiza,536,0,536
xylitol,535,0,535
fedratinib,272,263,535
azoles,508,26,534
halofuginone,418,116,534
chloroquine/hydroxychloroquine,533,0,533
gonadotropin,533,0,533
hemin,533,0,533
anthracycline,285,247,532
bromelain,519,12,531
silicone,529,0,529
naringenin,376,153,529
ctla-4,527,0,527
andrographolide,525,2,527
triptolide,270,257,527
pidotimod,256,271,527
osteocalcin,130,396,526
theaflavin,524,0,524
cloxacillin,284,239,523
xylose,522,0,522
cefpodoxime,405,117,522
paraquat,520,0,520
ringer,520,0,520
lefamulin,331,188,519
formononetin,244,274,518
estrogens,44,474,518
peginterferon,516,0,516
cepharanthine,256,260,516
penicillin/streptomycin,514,0,514
streptozotocin,358,156,514
cisapride,278,236,514
soy,513,0,513
spermidine,171,342,513
sanitizer,512,0,512
lma,512,0,512
s.,511,0,511
lectin,313,197,510
cefiderocol,295,215,510
topotecan,256,254,510
amoxicillin/clavulanate,509,0,509
bisulfite,508,0,508
antipyretic,300,208,508
cytochalasin,289,219,508
"1,25(oh)2d",507,0,507
benzimidazole,286,221,507
clotrimazole,253,254,507
cq/hcq,505,0,505
echinocandins,503,0,503
nitrous,503,0,503
ghrelin,389,113,502
acepromazine,252,250,502
lapatinib,248,253,501
carnitine,247,254,501
olaparib,229,272,501
icaritin,212,289,501
carmustine,291,209,500
triamcinolone,243,257,500
naltrexone,105,395,500
dabigatran,496,0,496
bromine,394,101,495
zeocin,151,344,495
prostacyclin,489,5,494
liposomal,493,0,493
calcineurin,490,2,492
phenylbutazone,322,170,492
aliskiren,405,86,491
hexachlorophene,490,0,490
omt,490,0,490
hesperidin,489,0,489
hesperetin,489,0,489
nitroglycerin,205,284,489
lipofuscin,44,445,489
chlorambucil,479,9,488
nicardipine,241,247,488
barium,449,38,487
ceftobiprole,251,236,487
deferoxamine,350,136,486
panitumumab,252,234,486
fusarium,483,1,484
epirubicin,284,200,484
danshen,483,0,483
topiramate,253,230,483
fos,480,0,480
graphene,480,0,480
neem,479,0,479
usp7,479,0,479
hydroxyproline,473,6,479
endostatin,267,212,479
pertussis,478,0,478
resnet50,478,0,478
daratumumab,212,266,478
valproic,475,0,475
danoprevir,225,250,475
fidaxomicin,315,159,474
flunarizine,245,229,474
psoralen,471,0,471
imipramine,233,237,470
ginger,469,0,469
amk,469,0,469
sulbactam,371,98,469
enterovirus,468,0,468
peroxide,468,0,468
pilocarpine,254,214,468
kolmogorov,0,468,468
fq,467,0,467
aripiprazole,238,227,465
aminophylline,346,118,464
aflatoxin,462,0,462
valproate,462,0,462
filgrastim,462,0,462
lactose,462,0,462
bloom,461,0,461
tizoxanide,277,183,460
penicillium,459,0,459
bax,459,0,459
desmopressin,336,123,459
bisphenol,257,202,459
rotenone,51,408,459
subtilisin,69,389,458
ns3,457,0,457
androgens,378,79,457
presatovir,202,255,457
lp,0,457,457
sulphur,456,0,456
synagis,253,203,456
roxithromycin,227,229,456
thromboplastin,0,456,456
broccoli,455,0,455
α-tocopherol,455,0,455
levodopa,345,110,455
ephedrine,224,231,455
l-glutamine,454,0,454
flash,454,0,454
salicylate,453,0,453
prodrug,453,0,453
povidoneiodine,436,17,453
miltefosine,263,190,453
oligomycin,287,165,452
selenite,451,0,451
flucloxacillin,265,186,451
alkylated,450,0,450
fondaparinux,450,0,450
jak2,450,0,450
tylvalosin,197,253,450
migraine,3,447,450
cinnamon,448,0,448
cpu,448,0,448
paroxetine,222,226,448
biocide,446,0,446
digitoxin,241,205,446
clofazimine,238,208,446
progestin,205,241,446
cephalosporine,233,212,445
trazodone,222,221,443
tig,442,0,442
hypericin,317,125,442
iloprost,441,0,441
cep,440,0,440
xa,439,0,439
e-64,439,0,439
nimodipine,242,197,439
β-adrenergic,438,0,438
terbinafine,225,213,438
tannins,437,0,437
tannin,435,0,435
vinorelbine,335,100,435
butorphanol,68,367,435
carprofen,276,158,434
lamotrigine,165,269,434
ticarcillin,186,247,433
β-carotene,432,0,432
tmp/smx,432,0,432
olmesartan,255,177,432
melamine,408,23,431
wogonin,394,37,431
hydralazine,234,197,431
riboflavin,430,0,430
mesalamine,224,206,430
clonazepam,212,218,430
abatacept,428,0,428
homoharringtonine,292,136,428
donepezil,427,0,427
surfactin,419,8,427
salts,426,0,426
laba,426,0,426
idoxuridine,258,168,426
spiramycin,225,201,426
bendamustine,211,215,426
candida,425,0,425
