molecule,virus,reference,type,pubchem_smiles,obabel_smiles,pubchem_id,similarity_calculated,release
ZINC1775962367,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,O=C1C[N+]2([B-](O1)(OC(=O)C2)c1ccc(cc1)Cn1c(C)nc2c1cc(Cl)c(c2[N+](=O)[O-])Cl)C,O=C1C[N+]2([B-](O1)(OC(=O)C2)c1ccc(cc1)Cn1c(C)nc2c1cc(Cl)c(c2[N+](=O)[O-])Cl)C,,1,0.3
ZINC4326719,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,COC1=C(C=C(C=C1)C2=NN3C(=NN=C3S2)C4=CC=CO4)OC,COc1cc(ccc1OC)c1nn2c(s1)nnc2c1ccco1,661498,1,0.3
ZINC4511851,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,COC1=C(C=C(C=C1)C2=NN3C(=NN=C3S2)C4=CC=CS4)OC,COc1cc(ccc1OC)c1nn2c(s1)nnc2c1cccs1,3163969,1,0.3
ZINC95559591,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,C1CC(C1)C(=O)NCCCNC2=NC(=NC=C2C3CC3)NC4=CC=C(C=C4)N5CCOCC5,O=C(C1CCC1)NCCCNc1nc(ncc1C1CC1)Nc1ccc(cc1)N1CCOCC1,44465558,1,0.3
4E2RCat,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,C1=CC=C(C=C1)CN2C(=O)C(=CC3=CC=C(O3)C4=CC(=C(C=C4)Cl)C(=O)O)SC2=S,S=C1SC(=Cc2ccc(o2)c2ccc(c(c2)C(=O)O)Cl)C(=O)N1Cc1ccccc1,2287236,1,0.3
ABBV-744,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CCNC(=O)C1=CC2=C(N1)C(=O)N(C=C2C3=C(C=CC(=C3)C(C)(C)O)OC4=C(C=C(C=C4C)F)C)C,CCNC(=O)c1cc2c([nH]1)c(=O)n(cc2c1cc(ccc1Oc1c(C)cc(cc1C)F)C(O)(C)C)C,132010322,1,0.3
Camostat,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CN(C)C(=O)COC(=O)CC1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)N=C(N)N,CN(C(=O)COC(=O)Cc1ccc(cc1)OC(=O)c1ccc(cc1)N=C(N)N)C,2536,1,0.3
Captopril,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CC(CS)C(=O)N1CCCC1C(=O)O,SCC(C(=O)N1CCCC1C(=O)O)C,44093,1,0.3
CB5083,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CC1=CC2=C(C=CC=C2N1C3=NC4=C(COCC4)C(=N3)NCC5=CC=CC=C5)C(=O)N,NC(=O)c1cccc2c1cc(n2c1nc(NCc2ccccc2)c2c(n1)CCOC2)C,73051434,1,0.3
Chloramphenicol,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],OCC(C(c1ccc(cc1)[N+](=O)[O-])O)NC(=O)C(Cl)Cl,5959,1,0.3
Chloroquine,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,CCN(CCCC(Nc1ccnc2c1ccc(c2)Cl)C)CC,2719,1,0.3
Compound 10,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,C1=CC(=CC=C1C=C2C(=O)NC(=O)S2)OCC(=O)O,OC(=O)COc1ccc(cc1)C=C1SC(=O)NC1=O,139595720,1,0.3
Compound 2,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CO[C@@H]1CC/C=C/c2cccc(c2)[C@@H](CCNC(=O)OC(C)(C)C)OC(=O)[C@H]2NN(C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]1C)C(C)C)C)CCC2,CO[C@@H]1CC/C=C/c2cccc(c2)[C@@H](CCNC(=O)OC(C)(C)C)OC(=O)[C@H]2NN(C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]1C)C(C)C)C)CCC2,,1,0.3
CPI-0610,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CC1=NOC2=C1C3=CC=CC=C3C(=NC2CC(=O)N)C4=CC=C(C=C4)Cl,NC(=O)CC1N=C(c2ccc(cc2)Cl)c2c(-c3c1onc3C)cccc2,57389999,1,0.3
Dabrafenib,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CC(C)(C)C1=NC(=C(S1)C2=NC(=NC=C2)N)C3=C(C(=CC=C3)NS(=O)(=O)C4=C(C=CC=C4F)F)F,Nc1nccc(n1)c1sc(nc1c1cccc(c1F)NS(=O)(=O)c1c(F)cccc1F)C(C)(C)C,44462760,1,0.3
DBeQ,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,C1=CC=C(C=C1)CNC2=NC(=NC3=CC=CC=C32)NCC4=CC=CC=C4,c1ccc(cc1)CNc1nc(NCc2ccccc2)c2c(n1)cccc2,676352,1,0.3
dBET6,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CC1=C(SC2=C1C(=NC(C3=NN=C(N32)C)CC(=O)NCCCCCCCCNC(=O)COC4=CC=CC5=C4C(=O)N(C5=O)C6CCC(=O)NC6=O)C7=CC=C(C=C7)Cl)C,O=C(COc1cccc2c1C(=O)N(C2=O)C1CCC(=O)NC1=O)NCCCCCCCCNC(=O)CC1N=C(c2ccc(cc2)Cl)c2c(-n3c1nnc3C)sc(c2C)C,121427831,1,0.3
IHVR-19029,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,OC[C@H]1N(CCCCCCN(C(=O)NC(C)(C)C)C2CCCCC2)C[C@@H]([C@H]([C@@H]1O)O)O,OC[C@H]1N(CCCCCCN(C(=O)NC(C)(C)C)C2CCCCC2)C[C@@H]([C@H]([C@@H]1O)O)O,,1,0.3
Linezolid,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CC(=O)NCC1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F,CC(=O)NCC1OC(=O)N(C1)c1ccc(c(c1)F)N1CCOCC1,441401,1,0.3
Lisinopril,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,C1CC(N(C1)C(=O)C(CCCCN)NC(CCC2=CC=CC=C2)C(=O)O)C(=O)O,NCCCCC(C(=O)N1CCCC1C(=O)O)NC(C(=O)O)CCc1ccccc1,5362119,1,0.3
Minoxidil,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O,Nc1cc(nc(=N)n1O)N1CCCCC1,4201,1,0.3
ML240,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,COC1=CC=CC2=C1N=C(N=C2NCC3=CC=CC=C3)N4C5=CC=CC=C5N=C4N,COc1cccc2c1nc(nc2NCc1ccccc1)n1c(N)nc2c1cccc2,49830258,1,0.3
MZ1,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,O[C@@H]1C[C@H](N(C1)C(=O)[C@H](C(C)(C)C)NC(=O)COCCOCCOCCNC(=O)C[C@@H]1N=C(c2ccc(cc2)Cl)c2c(n3c1nnc3C)sc(c2C)C)C(=O)NCc1ccc(cc1)c1scnc1C,O[C@@H]1C[C@H](N(C1)C(=O)[C@H](C(C)(C)C)NC(=O)COCCOCCOCCNC(=O)C[C@@H]1N=C(c2ccc(cc2)Cl)c2c(n3c1nnc3C)sc(c2C)C)C(=O)NCc1ccc(cc1)c1scnc1C,,1,0.3
Nafamostat,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,C1=CC(=CC=C1C(=O)OC2=CC3=C(C=C2)C=C(C=C3)C(=N)N)N=C(N)N,NC(=Nc1ccc(cc1)C(=O)Oc1ccc2c(c1)ccc(c2)C(=N)N)N,4413,1,0.3
Pevonedistat,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,C1CC2=CC=CC=C2C1NC3=C4C=CN(C4=NC=N3)C5CC(C(C5)O)COS(=O)(=O)N,OC1CC(CC1COS(=O)(=O)N)n1ccc2c1ncnc2NC1CCc2c1cccc2,16720766,1,0.3
PS3061,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,N#CCC[C@H]1OC(=O)[C@H](C)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2cn(c3c2cccc3)Cc2ccc(cc2)Br)N(C(=O)[C@@H](NC(=O)[C@@H](N(C(=O)[C@@H](NC1=O)CC(C)C)C)CC(C)C)CC(C)C)C,N#CCC[C@H]1OC(=O)[C@H](C)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2cn(c3c2cccc3)Cc2ccc(cc2)Br)N(C(=O)[C@@H](NC(=O)[C@@H](N(C(=O)[C@@H](NC1=O)CC(C)C)C)CC(C)C)CC(C)C)C,,1,0.3
Rapamycin (Sirolimus),SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,COC1CC(CCC1O)CC(C1OC(=O)C2CCCCN2C(=O)C(=O)C2(O)OC(CCC2C)CC(OC)C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)C1)C)C)O)OC)C)C)C)C,5284616,1,0.3
Sanglifehrin A,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CCC1CC(C2(C(C(C(C(O2)CC(C(C)CCC=CC=C(C)C3CC=CC=CC(C(C(C(C(=O)NC(C(=O)NC(C(=O)N4CCCC(N4)C(=O)O3)CC5=CC(=CC=C5)O)C(C)C)CCC(=O)C)O)C)O)O)C)O)C)NC1=O)C,CCC1CC(C)C2(NC1=O)OC(CC(C(CCC=CC=C(C1CC=CC=CC(O)C(C)C(O)C(CCC(=O)C)C(=O)NC(C(=O)NC(C(=O)N3NC(C(=O)O1)CCC3)Cc1cccc(c1)O)C(C)C)C)C)O)C(C(C2C)O)C,5388925,1,0.3
Sapanisertib (INK128/MlN128),SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,Nc1oc2c(n1)cc(cc2)c1nn(c2c1c(N)ncn2)C(C)C,Nc1oc2c(n1)cc(cc2)c1nn(c2c1c(N)ncn2)C(C)C,,1,0.3
FK-506 (Tacrolimus),SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CC1CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC(=O)C(C=C(C1)C)CC=C)O)C)C(=CC4CCC(C(C4)OC)O)C)O)C)OC)OC,C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(CC2OC)C)C(=O)C(=O)N2C(C(=O)OC(C(C(CC1=O)O)C)C(=CC1CCC(C(C1)OC)O)C)CCCC2,445643,1,0.3
Ternatin 4 (DA3),SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,C=C[C@@H](C[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](NC(=O)[C@H](NC(=O)[C@@H]2N(C(=O)[C@@H](N(C1=O)C)C)CCCC2)[C@@H](C(C)C)O)[C@H](CC)C)C,C=C[C@@H](C[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](NC(=O)[C@H](NC(=O)[C@@H]2N(C(=O)[C@@H](N(C1=O)C)C)CCCC2)[C@@H](C(C)C)O)[C@H](CC)C)C,,1,0.3
Tigecycline,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CC(C)(C)NCC(=O)NC1=CC(=C2CC3CC4C(C(=O)C(=C(C4(C(=O)C3=C(C2=C1O)O)O)O)C(=O)N)N(C)C)N(C)C,O=C(Nc1cc(N(C)C)c2c(c1O)C(=C1C(C2)CC2C(C1=O)(O)C(=C(C(=O)C2N(C)C)C(=O)N)O)O)CNC(C)(C)C,54686904,1,0.3
Tomivosertib (eFT-508),SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,Nc1ncnc(c1)Nc1cc(C)c2n(c1=O)C1(CCCCC1)NC2=O,Nc1ncnc(c1)Nc1cc(C)c2n(c1=O)C1(CCCCC1)NC2=O,,1,0.3
Verdinexor,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,C1=CC=NC(=C1)NNC(=O)C=CN2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,O=C(C=Cn1cnc(n1)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)NNc1ccccn1,71492799,1,0.3
WDB002,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CC[C@@H]([C@@H]1/C=C/C/C=C/C[C@@H](C)[C@H](O)[C@H]([C@H]2O[C@](C(=O)C(=O)N3[C@H](C(=O)O1)CCCC3)(O)[C@H](C)CC2)C)Cc1ccccc1,CC[C@@H]([C@@H]1/C=C/C/C=C/C[C@@H](C)[C@H](O)[C@H]([C@H]2O[C@](C(=O)C(=O)N3[C@H](C(=O)O1)CCCC3)(O)[C@H](C)CC2)C)Cc1ccccc1,,1,0.3
Zotatifin (eFT226),SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,COc1nc(OC)cc2c1[C@]1(O)[C@H](O)[C@@H]([C@H]([C@@]1(O2)c1ccc(cc1)C#N)c1ccccc1)CN(C)C,COc1nc(OC)cc2c1[C@]1(O)[C@H](O)[C@@H]([C@H]([C@@]1(O2)c1ccc(cc1)C#N)c1ccccc1)CN(C)C,,1,0.3
Camostat,MERS,10.3390/v10120721,experimental,CN(C)C(=O)COC(=O)CC1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)N=C(N)N,CN(C(=O)COC(=O)Cc1ccc(cc1)OC(=O)c1ccc(cc1)N=C(N)N)C,2536,1,0.3
Chloroquine,MERS,10.3390/v10120721,experimental,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,CCN(CCCC(Nc1ccnc2c1ccc(c2)Cl)C)CC,2719,1,0.3
Chlorpromazine,MERS,10.3390/v10120721,experimental,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,CN(CCCN1c2ccccc2Sc2c1cc(Cl)cc2)C,2726,1,0.3
Ouabain,MERS,10.3390/v10120721,experimental,CC1C(C(C(C(O1)OC2CC(C3(C4C(CCC3(C2)O)C5(CCC(C5(CC4O)C)C6=CC(=O)OC6)O)CO)O)O)O)O,OCC12C(O)CC(CC2(O)CCC2C1C(O)CC1(C2(O)CCC1C1=CC(=O)OC1)C)OC1OC(C)C(C(C1O)O)O,439501,1,0.3
bufalin,MERS,10.3390/v10120721,experimental,CC12CCC(CC1CCC3C2CCC4(C3(CCC4C5=COC(=O)C=C5)O)C)O,OC1CCC2(C(C1)CCC1C2CCC2(C1(O)CCC2c1ccc(=O)oc1)C)C,9547215,1,0.3
Dihydrotanshinone,MERS,10.3390/v10120721,experimental,CC1COC2=C1C(=O)C(=O)C3=C2C=CC4=C(C=CC=C43)C,CC1COC2=C1C(=O)C(=O)c1c2ccc2c1cccc2C,5316743,1,0.3
Disulfiram,MERS,10.3390/v10120721,experimental,CCN(CC)C(=S)SSC(=S)N(CC)CC,CCN(C(=S)SSC(=S)N(CC)CC)CC,3117,1,0.3
6-thioguanine,MERS,10.3390/v10120721,experimental,C1=NC2=C(N1)C(=S)N=C(N2)N,Nc1nc(=S)c2c([nH]1)nc[nH]2,,1,0.3
mycophenolic acid,MERS,10.3390/v10120721,experimental,CC1=C2COC(=O)C2=C(C(=C1OC)CC=C(C)CCC(=O)O)O,COc1c(CC=C(CCC(=O)O)C)c(O)c2c(c1C)COC2=O,,1,0.3
Promethazine,MERS,10.3390/v10120721,experimental,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C,CN(C(CN1c2ccccc2Sc2c1cccc2)C)C,4927,1,0.3
