id,molecule,virus,reference,type,smiles,pubchem_id,similarity_calculated
21,Ribavirin,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,OCC1OC(C(C1O)O)n1cnc(n1)C(=O)N,37542.0,1
22,E-52862,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,Cc1cc(nn1c1ccc2c(c1)cccc2)OCCN1CCOCC1,44247568.0,1
23,Merimepodib,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,COc1cc(ccc1c1cnco1)NC(=O)Nc1cccc(c1)CNC(=O)OC1COCC1,153241.0,1
24,RVX-208,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,OCCOc1c(C)cc(cc1C)c1nc2cc(OC)cc(c2c(=O)[nH]1)OC,135564749.0,1
25,XL413,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,Clc1ccc2c(c1)c1nc([nH]c(=O)c1o2)C1CCCN1,135564632.0,1
26,AC-55541,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,Brc1cccc(c1)C(=NNC(=O)C(c1n[nH]c(=O)c2c1cccc2)NC(=O)c1ccccc1)C,9589606.0,1
27,Apicidin,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CCC(=O)CCCCCC1NC(=O)C2CCCCN2C(=O)C(NC(=O)C(NC1=O)Cc1cn(c2c1cccc2)OC)C(CC)C,6918328.0,1
28,AZ3451,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,N#Cc1ccc(cc1)NC(=O)c1ccc2c(c1)nc(n2C(C1CCCCC1)C)c1cc2OCOc2cc1Br,126961335.0,1
29,AZ8838,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CCCc1cc(F)ccc1C(c1ncc[nH]1)O,126961334.0,1
30,Bafilomycin A1,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,COC1C=CC=C(C)CC(C)C(O)C(C=C(C=C(C(=O)OC1C(C(C(C1(O)CC(O)C(C(O1)C(C)C)C)C)O)C)OC)C)C,6436223.0,1
31,CCT 365623,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,NCc1ccc(s1)S(=O)(=O)c1cc(cc(c1)S(=O)(=O)C)c1ccccc1,,1
32,GB110,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,NCC1CCN(CC1)C(=O)c1cccc(c1)CNC(=O)C(C(CC)C)NC(=O)C(NC(=O)c1ccno1)CC1CCCCC1,49843508.0,1
33,H-89,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,Brc1ccc(cc1)C=CCNCCNS(=O)(=O)c1cccc2c1ccnc2,449241.0,1
34,JQ1,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,O=C(OC(C)(C)C)CC1N=C(c2ccc(cc2)Cl)c2c(n3c1nnc3C)sc(c2C)C,46907787.0,1
35,PB28,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,COc1cccc2c1CCCC2CCCN1CCN(CC1)C1CCCCC1,10474335.0,1
36,PD-144418,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CCCN1CCC=C(C1)c1onc(c1)c1ccc(cc1)C,9817231.0,1
37,RS-PPCC,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,COC(=O)C1(CC1CN1CCC(CC1)(O)c1ccccc1)c1ccc(cc1)C,,1
38,TMCB,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,OC(=O)Cn1c(nc2c1c(Br)c(Br)c(c2Br)Br)N(C)C,46943415.0,1
39,UCPH-101,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,COc1ccc(cc1)C1C2=C(OC(=C1C#N)N)CC(CC2=O)c1cccc2c1cccc2,25223366.0,1
40,ZINC1775962367,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,O=C1C[N+]2([B-](O1)(OC(=O)C2)c1ccc(cc1)Cn1c(C)nc2c1cc(Cl)c(c2[N+](=O)[O-])Cl)C,,1
41,ZINC4326719,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,COc1cc(ccc1OC)c1nn2c(s1)nnc2c1ccco1,661498.0,1
42,ZINC4511851,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,COc1cc(ccc1OC)c1nn2c(s1)nnc2c1cccs1,3163969.0,1
43,ZINC95559591,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,O=C(C1CCC1)NCCCNc1nc(ncc1C1CC1)Nc1ccc(cc1)N1CCOCC1,44465558.0,1
44,4E2RCat,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,S=C1SC(=Cc2ccc(o2)c2ccc(c(c2)C(=O)O)Cl)C(=O)N1Cc1ccccc1,2287236.0,1
45,ABBV-744,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CCNC(=O)c1cc2c([nH]1)c(=O)n(cc2c1cc(ccc1Oc1c(C)cc(cc1C)F)C(O)(C)C)C,132010322.0,1
46,Camostat,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CN(C(=O)COC(=O)Cc1ccc(cc1)OC(=O)c1ccc(cc1)N=C(N)N)C,2536.0,1
47,Captopril,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,SCC(C(=O)N1CCCC1C(=O)O)C,44093.0,1
48,CB5083,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,NC(=O)c1cccc2c1cc(n2c1nc(NCc2ccccc2)c2c(n1)CCOC2)C,73051434.0,1
49,Chloramphenicol,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,OCC(C(c1ccc(cc1)[N+](=O)[O-])O)NC(=O)C(Cl)Cl,5959.0,1
50,Chloroquine,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CCN(CCCC(Nc1ccnc2c1ccc(c2)Cl)C)CC,2719.0,1
51,Compound 10,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,COC=C(c1ccccc1Oc1nc[nH]c(=O)c1)C(=O)OO,139595720.0,1
52,Compound 2,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CO[C@@H]1CC/C=C/c2cccc(c2)[C@@H](CCNC(=O)OC(C)(C)C)OC(=O)[C@H]2NN(C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]1C)C(C)C)C)CCC2,,1
53,CPI-0610,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,NC(=O)CC1N=C(c2ccc(cc2)Cl)c2c(c3c1onc3C)cccc2,57389999.0,1
54,Dabrafenib,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,Nc1nccc(n1)c1sc(nc1c1cccc(c1F)NS(=O)(=O)c1c(F)cccc1F)C(C)(C)C,44462760.0,1
55,DBeQ,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,c1ccc(cc1)CNc1nc(NCc2ccccc2)c2c(n1)cccc2,676352.0,1
56,dBET6,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,O=C(COc1cccc2c1C(=O)N(C2=O)C1CCC(=O)NC1=O)NCCCCCCCCNC(=O)CC1N=C(c2ccc(cc2)Cl)c2c(n3c1nnc3C)sc(c2C)C,121427831.0,1
57,IHVR-19029,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,OC[C@H]1N(CCCCCCN(C(=O)NC(C)(C)C)C2CCCCC2)C[C@@H]([C@H]([C@@H]1O)O)O,,1
58,Linezolid,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CC(=O)NCC1OC(=O)N(C1)c1ccc(c(c1)F)N1CCOCC1,441401.0,1
59,Lisinopril,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,NCCCCC(C(=O)N1CCCC1C(=O)O)NC(C(=O)O)CCc1ccccc1,5362119.0,1
60,Minoxidil,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,Nc1cc(nc(=N)n1O)N1CCCCC1,4201.0,1
61,ML240,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,COc1cccc2c1nc(nc2NCc1ccccc1)n1c(N)nc2c1cccc2,49830258.0,1
62,MZ1,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,O[C@@H]1C[C@H](N(C1)C(=O)[C@H](C(C)(C)C)NC(=O)COCCOCCOCCNC(=O)C[C@@H]1N=C(c2ccc(cc2)Cl)c2c(n3c1nnc3C)sc(c2C)C)C(=O)NCc1ccc(cc1)c1scnc1C,,1
63,Nafamostat,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,NC(=Nc1ccc(cc1)C(=O)Oc1ccc2c(c1)ccc(c2)C(=N)N)N,4413.0,1
64,Pevonedistat,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,OC1CC(CC1COS(=O)(=O)N)n1ccc2c1ncnc2NC1CCc2c1cccc2,16720766.0,1
65,PS3061,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,N#CCC[C@H]1OC(=O)[C@H](C)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2cn(c3c2cccc3)Cc2ccc(cc2)Br)N(C(=O)[C@@H](NC(=O)[C@@H](N(C(=O)[C@@H](NC1=O)CC(C)C)C)CC(C)C)CC(C)C)C,,1
66,Rapamycin (Sirolimus),SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,COC1CC(CCC1O)CC(C1OC(=O)C2CCCCN2C(=O)C(=O)C2(O)OC(CCC2C)CC(OC)C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)C1)C)C)O)OC)C)C)C)C,5284616.0,1
67,Sanglifehrin A,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CCC1CC(C)C2(NC1=O)OC(CC(C(CCC=CC=C(C1CC=CC=CC(O)C(C)C(O)C(CCC(=O)C)C(=O)NC(C(=O)NC(C(=O)N3NC(C(=O)O1)CCC3)Cc1cccc(c1)O)C(C)C)C)C)O)C(C(C2C)O)C,5388925.0,1
68,Sapanisertib (INK128/MlN128),SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,Nc1oc2c(n1)cc(cc2)c1nn(c2c1c(N)ncn2)C(C)C,,1
69,FK-506 (Tacrolimus),SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(CC2OC)C)C(=O)C(=O)N2C(C(=O)OC(C(C(CC1=O)O)C)C(=CC1CCC(C(C1)OC)O)C)CCCC2,445643.0,1
70,Ternatin 4 (DA3),SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,C=C[C@@H](C[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](NC(=O)[C@H](NC(=O)[C@@H]2N(C(=O)[C@@H](N(C1=O)C)C)CCCC2)[C@@H](C(C)C)O)[C@H](CC)C)C,,1
71,Tigecycline,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,O=C(Nc1cc(N(C)C)c2c(c1O)C(=C1C(C2)CC2C(C1=O)(O)C(=C(C(=O)C2N(C)C)C(=O)N)O)O)CNC(C)(C)C,54686904.0,1
72,Tomivosertib (eFT-508),SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,Nc1ncnc(c1)Nc1cc(C)c2n(c1=O)C1(CCCCC1)NC2=O,,1
73,Verdinexor,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,O=C(C=Cn1cnc(n1)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)NNc1ccccn1,71492799.0,1
74,WDB002,SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,CC[C@@H]([C@@H]1/C=C/C/C=C/C[C@@H](C)[C@H](O)[C@H]([C@H]2O[C@](C(=O)C(=O)N3[C@H](C(=O)O1)CCCC3)(O)[C@H](C)CC2)C)Cc1ccccc1,,1
75,Zotatifin (eFT226),SARS-CoV-2,10.1101/2020.03.22.002386v1,experimental,COc1nc(OC)cc2c1[C@]1(O)[C@H](O)[C@@H]([C@H]([C@@]1(O2)c1ccc(cc1)C#N)c1ccccc1)CN(C)C,,1
76,Camostat,MERS,10.3390/v10120721,experimental,CN(C(=O)COC(=O)Cc1ccc(cc1)OC(=O)c1ccc(cc1)N=C(N)N)C,2536.0,1
77,Chloroquine,MERS,10.3390/v10120721,experimental,CN(CCCN1c2ccccc2Sc2c1cc(Cl)cc2)C,2719.0,1
78,Chlorpromazine,MERS,10.3390/v10120721,experimental,CN(CCCN1c2ccccc2Sc2c1cc(Cl)cc2)C,2726.0,1
79,Ouabain,MERS,10.3390/v10120721,experimental,OCC12C(O)CC(CC2(O)CCC2C1C(O)CC1(C2(O)CCC1C1=CC(=O)OC1)C)OC1OC(C)C(C(C1O)O)O,439501.0,1
80,bufalin,MERS,10.3390/v10120721,experimental,OC1CCC2(C(C1)CCC1C2CCC2(C1(O)CCC2c1ccc(=O)oc1)C)C,9547215.0,1
81,Dihydrotanshinone,MERS,10.3390/v10120721,experimental,CC1COC2=C1C(=O)C(=O)c1c2ccc2c1cccc2C,5316743.0,1
82,Disulfiram,MERS,10.3390/v10120721,experimental,CCN(C(=S)SSC(=S)N(CC)CC)CC,3117.0,1
83,6-thioguanine,MERS,10.3390/v10120721,experimental,Nc1nc(=S)c2c([nH]1)nc[nH]2,,1
84,mycophenolic acid,MERS,10.3390/v10120721,experimental,COc1c(C/C=C(/CCC(=O)O)\C)c(O)c2c(c1C)COC2=O,,1
85,Promethazine,MERS,10.3390/v10120721,experimental,CN(C(CN1c2ccccc2Sc2c1cccc2)C)C,4927.0,1
86,fluphenazine,MERS,10.3390/v10120721,experimental,OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F,3372.0,1
87,Ribavirin,SARS-CoV-2,10.1038/s41422-020-0282-0,experimental,OCC1OC(C(C1O)O)n1cnc(n1)C(=O)N,37542.0,1
88,Lopinavir,SARS-CoV-2,10.1038/s41422-020-0282-0,experimental,O=C(NC(C(CC(Cc1ccccc1)NC(=O)C(N1CCCNC1=O)C(C)C)O)Cc1ccccc1)COc1c(C)cccc1C,92727.0,1
89,ritonavir,SARS-CoV-2,10.1038/s41422-020-0282-0,experimental,O=C(NC(C(CC(Cc1ccccc1)NC(=O)C(C(C)C)NC(=O)N(Cc1csc(n1)C(C)C)C)O)Cc1ccccc1)OCc1cncs1,392622.0,1
90,Penciclovir,SARS-CoV-2,10.1038/s41422-020-0282-0,experimental,OCC(CCn1cnc2c1nc(N)[nH]c2=O)CO,135398748.0,1
91,Nitazoxanide,SARS-CoV-2,10.1038/s41422-020-0282-0,experimental,CC(=O)Oc1ccccc1C(=O)Nc1ncc(s1)[N+](=O)[O-],41684.0,1
92,Chloroquine,SARS-CoV-2,10.1038/s41422-020-0282-0,experimental,CCN(CCCC(Nc1ccnc2c1ccc(c2)Cl)C)CC,2719.0,1
93,Remdesivir,SARS-CoV-2,10.1038/s41422-020-0282-0,experimental,CCC(COC(=O)[C@@H](N[P@@](=O)(Oc1ccccc1)OC[C@H]1O[C@@]([C@@H]([C@@H]1O)O)(C#N)c1ccc2n1ncnc2N)C)CC,,1
94,Favipiravir,SARS-CoV-2,10.1038/s41422-020-0282-0,experimental,Fc1c[nH]c(=O)c(n1)C(=O)N,492405.0,1
95,Ribavirin,SARS,10.3201/eid1004.030458,experimental,OCC1OC(C(C1O)O)n1cnc(n1)C(=O)N,37542.0,1
96,Oseltamivir,SARS,10.3201/eid1004.030458,experimental,CCOC(=O)C1=CC(C(C(C1)N)NC(=O)C)OC(CC)CC,65028.0,1
97,Foscarnet,SARS,10.3201/eid1004.030458,experimental,OC(=O)P(=O)(O)O,3415.0,1
98,EGCG Palmitate,SARS,10.2174/1871528114666151022150122,experimental,Oc1cc(O)c2c(c1)O[C@@H]([C@@H](C2)OC(=O)c1cc(O)c(c(c1)O)O)c1cc(O)c(c(c1)O)O,,1
99,glycyrrhizin,SARS,10.1021/jm0493008,experimental,O[C@@H]1[C@@H](O[C@@H]2O[C@H](C(=O)O)[C@H]([C@@H]([C@H]2O)O)O)[C@H](O[C@@H]([C@H]1O)C(=O)O)O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2C(=O)C=C2[C@@]1(C)CC[C@@]1([C@H]2C[C@](C)(CC1)C(=O)O)C)C)C,,1
100,zanamivir,SARS-CoV-2,10.5582/bst.2020.01020,experimental,OCC(C(C1OC(=CC(C1NC(=O)C)N=C(N)N)C(=O)O)O)O,60855.0,1
101,oseltamivir,SARS-CoV-2,10.5582/bst.2020.01020,experimental,CCOC(=O)C1=CC(C(C(C1)N)NC(=O)C)OC(CC)CC,65028.0,1
102,arbidol,SARS-CoV-2,10.5582/bst.2020.01020,experimental,CCOC(=O)c1c(CSc2ccccc2)n(c2c1c(CN(C)C)c(O)c(c2)Br)C,131411.0,1
103,Lamivudine,SARS-CoV-2,10.5582/bst.2020.01020,experimental,Nc1ccn(c(=O)n1)C1CSC(O1)CO,60825.0,1
104,lopinavir,SARS-CoV-2,10.5582/bst.2020.01020,experimental,O=C(NC(C(CC(Cc1ccccc1)NC(=O)C(N1CCCNC1=O)C(C)C)O)Cc1ccccc1)COc1c(C)cccc1C,92727.0,1
105,ritonavir,SARS-CoV-2,10.5582/bst.2020.01020,experimental,O=C(NC(C(CC(Cc1ccccc1)NC(=O)C(C(C)C)NC(=O)N(Cc1csc(n1)C(C)C)C)O)Cc1ccccc1)OCc1cncs1,392622.0,1
106,Umifenovir,SARS-CoV-2,10.5582/bst.2020.01020,experimental,CCOC(=O)c1c(CSc2ccccc2)n(c2c1c(CN(C)C)c(O)c(c2)Br)C,131411.0,1
107,hydroxychloroquine,SARS-CoV-2,10.5582/bst.2020.01020,experimental,OCCN(CCCC(Nc1ccnc2c1ccc(c2)Cl)C)CC,3652.0,1
108,chloroquine,SARS-CoV-2,10.5582/bst.2020.01020,experimental,CCN(CCCC(Nc1ccnc2c1ccc(c2)Cl)C)CC,2719.0,1
109,remdesivir,SARS-CoV-2,10.5582/bst.2020.01020,experimental,CCC(COC(=O)C(NP(=O)(Oc1ccccc1)OCC1OC(C(C1O)O)(C#N)c1ccc2n1ncnc2N)C)CC,121304016.0,1
110,arbidol,SARS-CoV-2,10.5582/bst.2020.01020,experimental,CCOC(=O)c1c(CSc2ccccc2)n(c2c1c(CN(C)C)c(O)c(c2)Br)C,131411.0,1
111,lopinavir,SARS-CoV-2,10.5582/bst.2020.01020,experimental,O=C(NC(C(CC(Cc1ccccc1)NC(=O)C(N1CCCNC1=O)C(C)C)O)Cc1ccccc1)COc1c(C)cccc1C,92727.0,1
112,ritonavir,SARS-CoV-2,10.5582/bst.2020.01020,experimental,O=C(NC(C(CC(Cc1ccccc1)NC(=O)C(C(C)C)NC(=O)N(Cc1csc(n1)C(C)C)C)O)Cc1ccccc1)OCc1cncs1,392622.0,1
113,darunavir,SARS-CoV-2,10.5582/bst.2020.01020,experimental,CC(CN(S(=O)(=O)c1ccc(cc1)N)CC(C(Cc1ccccc1)NC(=O)OC1COC2C1CCO2)O)C,213039.0,1
114,cobicistat,SARS-CoV-2,10.5582/bst.2020.01020,experimental,O=C(NC(Cc1ccccc1)CCC(Cc1ccccc1)NC(=O)C(NC(=O)N(Cc1csc(n1)C(C)C)C)CCN1CCOCC1)OCc1cncs1,25151504.0,1
115,favipiravir,SARS-CoV-2,10.5582/bst.2020.01020,experimental,Fc1c[nH]c(=O)c(n1)C(=O)N,492405.0,1
116,thalidomide,SARS-CoV-2,10.5582/bst.2020.01020,experimental,O=C1CCC(C(=O)N1)N1C(=O)c2c(C1=O)cccc2,5426.0,1
117,vitamin C,SARS-CoV-2,10.5582/bst.2020.01020,experimental,OCC(C1OC(=O)C(=C1O)O)O,54670067.0,1
118,methylpredinsone,SARS-CoV-2,10.5582/bst.2020.01020,experimental,OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)CC(=O)[C@H]1[C@H]2C[C@@H](C2=CC(=O)C=C[C@]12C)C,,1
119,pirfenidone,SARS-CoV-2,10.5582/bst.2020.01020,experimental,Cc1ccc(=O)n(c1)c1ccccc1,40632.0,1
120,bromhexine hydrochloride,SARS-CoV-2,10.5582/bst.2020.01020,experimental,Brc1cc(CN(C2CCCCC2)C)c(c(c1)Br)N.Cl,5702220.0,1
121,Fingolimod,SARS-CoV-2,10.5582/bst.2020.01020,experimental,CCCCCCCCc1ccc(cc1)CCC(CO)(CO)N,107970.0,1
122,INSC-1,SARS-CoV-2,10.1101/2020.03.03.972133,computational,CCC(=O)N1CCN(CC1)Cc1cc(F)ccc1CN1CCC2(CC1)NC(=O)c1n2ccc1[C@H](NS(=O)(=O)c1ccccc1)C,,1
123,INSC-2,SARS-CoV-2,10.1101/2020.03.03.972133,computational,Fc1cccc(c1)[C@@H](CN1CCC(CC1)NC(=O)[C@@H](C(C)C)NC(=O)c1nn(c2c1CCC2)c1cccc(c1)F)C,,1
124,INSC-3,SARS-CoV-2,10.1101/2020.03.03.972133,computational,O=C(C[C@@]1(CCOc2c1cccc2)NC(=O)Nc1cccc(c1)C1(N)CC1)NC[C@H](C(C)C)NC(=O)c1csc(c1)C,,1
125,INSC-4,SARS-CoV-2,10.1101/2020.03.03.972133,computational,O=C1Nc2c(cccc2[C@@H]2N1CCN(C2)C(=O)c1c(C)cccc1F)NC(=O)C(N)(C)C,,1
126,INSC-5,SARS-CoV-2,10.1101/2020.03.03.972133,computational,COc1cccc(c1)[C@@H]1CC2(NS1(=O)=O)CN(C2)c1ccc(c(c1)C)C(=O)N1CCN(C(=O)C1)c1ccc(cc1)F,,1
127,INSC-6,SARS-CoV-2,10.1101/2020.03.03.972133,computational,Fc1ccc(cc1)S(=O)(=O)N[C@H](c1ccccc1)C(=O)Nc1ccc(cc1)c1c(cc[nH]c1=O)CN1CCC(CC1)(F)F,,1
128,INSC-7,SARS-CoV-2,10.1101/2020.03.03.972133,computational,CNCS(=O)(=O)Nc1cccc(c1)NC(=O)c1cn(c2c1cccc2)C[C@H](c1ccc(cc1)C(F)(F)F)O,,1
129,INSC-8,SARS-CoV-2,10.1101/2020.03.03.972133,computational,O=C(c1ccc(cc1)[C@]1(C)NC(=O)N(C1=O)Cc1ccc(c(c1)F)C)N1CCC2(CC1)C[C@H](C(=O)N2)c1ccc(c(c1)C)O,,1
130,INSC-9,SARS-CoV-2,10.1101/2020.03.03.972133,computational,Oc1ccc(cc1)[C@@H]1CC2(NC1=O)CCN(CC2)C(=O)c1ccc(cc1C)[C@]1(C)NC(=O)N(C1=O)Cc1cccc(c1)O,,1
131,INSC-10,SARS-CoV-2,10.1101/2020.03.03.972133,computational,Fc1cccc(c1)c1n[nH]c2c1CN(C2=O)c1ccn2c1NC(=O)[C@@]12CCN1CCC(=O)c1ccc(s1)C,,1
132,INSC-11,SARS-CoV-2,10.1101/2020.03.03.972133,computational,CN1CCC2(CC1)[C@H](NC(=O)N2C[C@H](c1cccc2c1cco2)C)c1ccc(cc1)S(=O)(=O)Nc1ccc(cc1)C,,1
133,INSC-12,SARS-CoV-2,10.1101/2020.03.03.972133,computational,Fc1ccc(cc1)S(=O)(=O)N[C@H](c1ccccc1F)C(=O)Nc1ccc(cc1)c1c(cc[nH]c1=O)CN1CCCCC1,,1
134,INSC-13,SARS-CoV-2,10.1101/2020.03.03.972133,computational,NCC[C@@H](c1ccc(cc1)F)C(=O)Nc1ccc(c(c1)c1ccnc(c1)C)CN1C(=O)CCC1=O,,1
135,INSC-14,SARS-CoV-2,10.1101/2020.03.03.972133,computational,O=C([C@@H](N)C)Nc1cccc2c1NC(=O)C1N2CCN(C1)C(=O)c1ccc(s1)c1ccc(cc1)F,,1
136,INSC-15,SARS-CoV-2,10.1101/2020.03.03.972133,computational,COCc1cccc(c1O)c1n[nH]c2c1CN(C2=O)C(=O)N[C@H](C[C@@H](c1scnc1C(C)C)N)C,,1
